question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,,,,
"A charge moving with some velocity possess",,easy, A charge has electric field around it all the time even when it is stable and static but when charge start to move current produces and it also produces magnetic field around itself.,,38,Electric field,Magnetic Field,Both A and B,None of these,,,,,3,,,,,,,
"If 1A current flows through 2m long conductor, the charge flow through it in 1 hour will be",,moderate,"By using the formula I=q/t, we can find q. Here t is in hours we need to change it in seconds so t=3600.",,38,3600C,7200C,1C,2C,,,,,1,,,,,,,
A fuse is placed in series with the circuit to protect against ,,moderate,the purpose of fuse in any circuit is to avoid any damages due to short circuit. Therefore fuse is used to avoid over heating,,38,high power,high voltage,high current,over heating,,,,,4,,,,,,,
A boiler uses 20 ohm resistance and takes 5 minutes to boil a given amount of water. If we want to boil the same amount of water in 1 minute. How much resistance will be required(in ohms)?,,difficult,"As the resistance is inversely proportional to the times taken to boil the water so by using the formula,
\[
\mathrm{R}_{1} / \mathrm{t}_{1}=\mathrm{R}_{2} / \mathrm{t}_{2}
\]
R represents the resistance and t represents time
\[
\begin{array}{l}
\mathrm{R}_{2}=\left(\mathrm{R}_{1} \mathrm{t}_{2}\right) / \mathrm{t}_{1} \\
\mathrm{R}_{2}=4 \text { ohms }
\end{array}
\]",,38,2,4,6,5,,,,,2,,,,,,,
The equivalent resistance of circuit of having 3 resistor connected in parallel two rated as 4 ohm and one rated as 2 ohm?,,moderate,"First calculate the resistance of two identical resistor
\[
\begin{array}{l}
\left(1 / \mathrm{R}_{\mathrm{eq} 1}\right)=(1 / 4)+(1 / 4) \\
\mathrm{R}_{\mathrm{eq} 1}=2 \mathrm{ohm}
\end{array}
\]
Then again applying formula for the third resistor

\[
\mathrm{R}_{\mathrm{eq}}=(1 / 2)+(1 / 2)=1 \mathrm{ohms}
\]",,38,3 ohm,4 ohm,3.5ohm,1ohm,,,,,4,,,,,,,
"If we want to increase the resistance, what we required to do ",,easy,"We know the formula of resistance as
R=ℓ L/A ,by reducing the thickness we actually reducing the area of conductor and so resistance increases.",,38,Increase the length of conductor,Reduce the thickness of conductor,Reduce the length of conductor   ,Both A and B,,,,,4,,,,,,,
Which of the following is false,,easy,EMF is the property of battery that exits even when it is not connected to any battery. EMF is the electromotive force. EMF is the maximum potential difference between two electrodes of cell when no current is drowned from the cell.,,38, Potential difference in a short circuit is zero,Potential difference is work done per unit charge, Emf doesn’t exit in an open circuit ,Conventional current flows from positive to negative terminal,,,,,3,,,,,,,
The voltage across the resistor R1 is ,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p13_Current_electricity/p13q8.PNG,difficult,"The general method to solve is to apply $\mathrm{KVR}$ in the loop and solve it as follows
\[
\begin{array}{l}
\mathrm{V}_{1}=\mathrm{IR}_{1}+\mathrm{IR}_{2} \\
10=\mathrm{I}(10)+\mathrm{I}(10) \\
\mathrm{I}=(1 / 2) \mathrm{A}
\end{array}
\]
Then by ohms law $\mathrm{V}=\mathrm{IR}$
\[
\begin{array}{l}
V=(1 / 2) \times(10) \\
V=5 V
\end{array}
\]",,38,10V,5V,20V,50V,,,,,3,,,,,,,
The voltage across the resistor R1 is ,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p13_Current_electricity/p13q9.PNG,moderate,The voltage remains same in component connected in parallel so voltage across both the resistor is equal and is 10V.,,38,10V,0,20V,30V,,,,,1,,,,,,,
 The current 2A flows between the point A and B. What will be the potential difference between these points,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p13_Current_electricity/p13q10.PNG,difficult,"By using ohms law
\[
\mathrm{V}=\mathrm{IR}
\]
where $V$ is the voltage, $R$ is the resistance and I is the current.
\[
\begin{array}{l}
\mathrm{V}=\mathrm{I}\left(\mathrm{R}_{1}+\mathrm{R}_{2}\right) \\
\mathrm{V}=2(3)=6 \mathrm{V}
\end{array}
\]",,38,0V,2V,0.1V,6V,,,,,4,,,,,,,
 If the clouds having positive charge. The charges flow as a result of lightening. In which direction will the electrons and convention current flow respectively,,moderate,Conventional current flows from positive to negative terminal and current due to electron is from negative to positive terminal.,,38,"Upward, Upward","Downward, Upward","Upward, Downward","Downward, Downward",,,,,2,,,,,,,
 Graphical representation of ohm’s law is,,easy,"By the relation of ohm law V=IR , $V \propto I$ , so the result of the graph is a straight line, where V is the voltage or potential difference across the wire, R is the resistance and I is the current flowing through the wire.",,38,Straight line,ellipse,hyperbola," parabola",,,,,1,,,,,,,
Resistance of wire on increasing the temperature will,,moderate,"By increasing the temperature the collision between electron increases and so it provides hindrance in the flow of electron.",,38,Increase with rise in temperature,decrease with rise in temperature,remain same,"depend on type of conductor",,,,,1,,,,,,,
Specific resistance depends on,,easy," Specific resistance only depends on type of material of wire",,38,depends on the length,depends on its radius,depends on type of material of wire,None of the above,,,,,3,,,,,,,
 Reciprocal of conductivity is,,easy,"We know the formula
Resistance=1/conductance",,38,Resistance,inductance,Resistivity,flexibility,,,,,3,,,,,,,
 Circuit which gives continuously varying potential,,moderate,"Potential divider with the help of changing resistance of the circuit, we can have continuously varying potential.",,38,complex network,potential divider,resistor,capacitor,,,,,2,,,,,,,
 Internal resistance is the resistance offered by,,easy, Internal resistance is the resistance present in the cell due to chemical in it and its value is indicated by source Emf.,,38,source emf,capacitance, resistance  , capacitor,,,,,1,,,,,,,
 The equivalent resistance of 3 resistance connected as shown in the figure,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p13_Current_electricity/p13q18.PNG,difficult,"By redrawing the above we can find out that all the three resistor are connected in parallel
fashion. We know the formula of parallel resistance equivalent.
First calculate the resistance of two identical resistor
$\left(1 / \mathrm{R}_{\mathrm{eq} 1}\right)=(1 / 4)+(1 / 4)$
$\mathrm{R}_{\mathrm{eq} 1}=2 \mathrm{ohm}$
Then again applying formula for the third resistor
$1 / \mathrm{R}_{\mathrm{eq}}=(1 / 2)+(1 / 2)=1 \mathrm{ohms}$",,38,1 ohm,2 ohm,0.1ohm,3ohm,,,,,1,,,,,,,
When a current of 1A flows for 5 sec through the lamp. How much charge flows through the lamp,,moderate,"\begin{array}{l}
\mathrm{I}=\mathrm{q} / \mathrm{t} \\
\mathrm{q}=\mathrm{I} \times\mathrm{t}=5 \mathrm{C}
\end{array}",,38,10C,5C,1C,insufficient Data,,,,,2,,,,,,,
Thermocouple converts,,easy,Information,,38,heat energy into electrical energy,mechanical energy into electrical energy,heat energy into light energy," heat energy into mechanical energy ",,,,,1,,,,,,,
"A bulb marked as 70W, 120V. The resistance of bulb is",,moderate,"We know the formula of power
\[
\mathrm{P}=\mathrm{VI}
\]
$P$ is the power $V$ represent voltage and I is the current.
We know that
\[
\begin{array}{l}
\mathrm{I}=\mathrm{V} / \mathrm{R} \\
\mathrm{P}=\mathrm{V}^{2} / \mathrm{R}=(120)^{2} / 70 \\
\mathrm{P}=205.71 \text { ohms }
\end{array}
\]",,38,207 ohm,200ohm,20571ohm,205.71ohm,,,,,4,,,,,,,
A wire of length L and area A is cut from middle into 2 equal parts. The resistance of each part is,,moderate,As far as the material and area of wire is not change the resistance will remain same.,,38,remain same,hlved,doubled,zero,,,,,1,,,,,,,
 The resistance between any two vertices of a triangle having resistance of 2ohms attached to each side is,,difficult,"2 resistor are connected in series and one in parallel
\begin{array}{l}
\mathrm{R}_{\mathrm{eql}}=2+2=4 \\
\mathrm{1} / \mathrm{R}_{\mathrm{eq}}=(1 / 4)+(1 / 2) \\
\mathrm{R}_{\mathrm{eq}}=1.33 \mathrm{ohms}
\end{array}",,38,3 ohms,2ohms,6 ohms,None of these,,,,,4,,,,,,,
$6.25 \times 10^{18}$ electrons possess charge equal to,,difficult,"Charge on an electron is
\[
\begin{array}{l}
1 \mathrm{e}=1.60 \times 10^{-19} \mathrm{C} \\
\left(6.25 \times 10^{18}\right) \mathrm{e}=1 \mathrm{C}
\end{array}
\]",,38,1 C,3C,4C,2C,,,,,1,,,,,,,
" If we have four resistance each of 1/4 ohm , then the minimum resistance that we can obtain is",,moderate," In order to have minimum resistance it is needed to connected all resistor in parallel fashion.
By using the formula of parallel equivalent resistance we can find the value.
$1/R_{eq} = 1/R_1+1/R_2+1/R_3$
",,38,1/16,1/5,1/100,1/325,,,,,1,,,,,,,
 Which of the following material have negative coefficient of resistivity?,,easy,Semi-conductor have negative coefficient of resistivity,,38,Steel,Iron,Tungsten,Silicon,,,,,4,,,,,,,
" If three bulbs of 100W, 200W, 300W are connected in series across 220V mains, then which bulb show maximum brightness",,moderate,"We know the formula of power
P=VI=$I^2R$
As the current is same for all bulb, so higher the power rating means greater the resistance, therefore 100W maximum brightness because of low resistance.",,38,100W,300W,200W,All will show some brightness,,,,,1,,,,,,,
" If three bulbs of 100W, 200W, 300W are connected in parallel across 220V mains, then which bulb show maximum brightness
",,moderate,"We know the formula of power
$P=VI=V^2 /R$
As the voltage is same for all bulb, so higher the power rating means lesser the resistance, therefore 300W maximum brightness because of low resistance.",,38,100W,300W,200W,All will show some brightness,,,,,2,,,,,,,
" If cost per Kwh is Rs. 5 then cost of operating three 100 watt bulbs for 10 hours will be",,difficult,"Total watt used in 10 hours = 3 \times 100= 300W
Total watt used in one hour =300 \times 10= 3000W
Total cost = 3000 \times 5= 15k 
",,38,Rs.5k,Rs 15k,Rs50k,Rs25k,,,,,2,,,,,,,
" Slop of the graph between Voltage (on x axis) and current (on y axis) gives",,easy,"slope =quantity on y axis/ quantity on x axis
Slope = I/V
Slope = 1/resistance",,38,Resistance,Resistivity,Conductance,None of these,,,,,3,,,,,,,
"Which statement is correct for two resistor R1 and R2 connected in parallel",,moderate,Voltage remain same in parallel circuit but current changes and equivalent resistance is less than the any individual resistance,,38,V2=V1,I=I2+I1,\mathrm{R}_{\mathrm{e}}=\mathrm{R} 1 \mathrm{R} 2 /(\mathrm{R} 1+\mathrm{R} 2),All of these,,,,,4,,,,,,,
" What is the resistance of a carbon resistor which has bands, brown, black, brown ",,easy,Learn color code for resistance. Refer table from book,,38,$100\Omega$,$1000\Omega$,$10\Omega$,$1\Omega$,,,,,2,,,,,,,
" Determine current through R1 in the following circuit",http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p13_Current_electricity/p13q33.PNG,difficult,"\[
\begin{array}{l}
1 / \operatorname{Req} 1=(1 / 10)+(1 / 10) \\
\operatorname{Req} 1=5 \mathrm{ohm} \\
\operatorname{Req}=5+10=15 \mathrm{ohm}
\end{array}
\]
Now using ohm law
\[
\mathrm{V}=\mathrm{IR}
\]
\[
\mathrm{I}=(20) /(15)=1.33 \mathrm{A}
\]",,38,\,3A,1.33A,5A,,,,,3,,,,,,,
Internal resistance of the cell is caused due to the,,easy,Information,,38,Static charges,Electrode,Electrolyte,None of these,,,,,3,,,,,,,
The value of current in an open circuit is,,moderate,In an open circuit no current flows in the circuit.,,38,0,Infinite,Both are possible,None of these,,,,,1,,,,,,,
The value of current in an short circuit is,,easy,"The circuit becomes infinite as the resistance becomes zero.",,38,0,Infinite,Both are possible,None of these,,,,,2,,,,,,,
 Maximum output power is given by,,easy,"Formula for maximum output power ",,38,\mathrm{E} / 4 \mathrm{r}^{2},\mathrm{E}^{2} / 4 \mathrm{r}^{2},\mathrm{E} / 4 \mathrm{r},\mathrm{E}^{2} / 4 \mathrm{r},,,,,4,,,,,,,
An ideal voltmeter has ______ resistance,,easy," Infinite resistance so that no current will flow from it.",,38,Zero,Mega ohms,Infinite,None of these,,,,,3,,,,,,,
 For close circuit which of the following statement is correct,,moderate,Terminal voltage is always less than EMF as EMF is voltage without any terminal losses,,38,\mathrm{E}>\mathrm{V}_{\mathrm{t}},\mathrm{E}=\mathrm{V},\mathrm{E}<\mathrm{V}_{\mathrm{t}},All of these,,,,,1,,,,,,,
 Kirchhoff’s 2 rule is in accordance with law of conservation of ,,easy,It is in accordance with conservation of energy as it states that the all losses in the circuit in the circuit is equal to the source energy. ,,38,Energy,Mass,Momentum,All of these,,,,,1,,,,,,,
Wheatstone bridge is an application of Kirchhoff’s ___ rule,,easy,Information,,38,1,2,3,4,,,,,2,,,,,,,
"In the Wheatstone bridge in the figure shown below, the final expression is ",http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p13_Current_electricity/p13q42.PNG,moderate,"See General expression of Wheatstone bridge.",,38,\frac{R 1}{R 2}=\frac{R 4}{R 3},\frac{R 3}{R 2}=\frac{R 4}{R 1},\frac{R_{3}^{3}}{R_{4}}=\frac{R 1}{R_{2}},\frac{R 2}{R 4}=\frac{R 1}{R 3},,,,,4,,,,,,,
" Referring from the above figure the equivalent resistance between point C and D is
If R1=R2=2ohm, R3=R4=5ohm",,difficult,"Ignore galvanometer while finding the resistance
$\mathrm{R}_{1}$ and $\mathrm{R}_{2}$ in series and equivalent resistance is $4 \mathrm{ohm}$
\[
\mathrm{R}_{\mathrm{leq}}=\mathrm{R}_{1}+\mathrm{R}_{2}=2+2=4 \mathrm{ohms}
\]
$\mathrm{R}_{3}$ and $\mathrm{R}_{4}$ in series and equivalent resistance is 10 ohm
\[
\mathrm{R}_{2 \mathrm{eq}}=\mathrm{R}_{4}+\mathrm{R}_{3}=5+5=10 \mathrm{ohms}
\]
Now both are in parallel so the final resistance is 2.85 ohm As $\mathrm{C}$ and $\mathrm{D}$ has same
potential.
\[
\begin{array}{l}
1 / \mathrm{R}_{\mathrm{eq}}=\left(1 / \mathrm{R}_{\mathrm{leq}}\right)+\left(\mathrm{R}_{2 \mathrm{eq}}\right) \\
\mathrm{R}_{\mathrm{eq}}=2.85 \mathrm{ohms}
\end{array}
\]",,38,2 Ohm,2.85 Ohm,1Ohm,3Ohm,,,,,2,,,,,,,
" Referring from the above figure the equivalent resistance between point A and B in a balance galvanometer and C and D is at same potential 
                If R1=R2=2ohm, R3=R4=5ohm",,difficult,"$\mathrm{R}_{3}$ and $\mathrm{R}_{4}$ are in connected in parallel. $\mathrm{R}_{1}$ and $\mathrm{R}_{2}$ are in connected in parallel and result of
both are connected in series
\[
\begin{array}{l}
\mathrm{R}_{3} / \mathrm{R}_{4}=2.5 \mathrm{ohm} \\
\mathrm{R}_{1} /  \mathrm{R}_{2}=1 \mathrm{ohm} \\
\text { Resultant resistance }=2.5+1=3.5 \mathrm{ohm}
\end{array}
\]",,38,2 Ohm,3 Ohm,1Ohm,3.5 Ohm,,,,,4,,,,,,,
 Current passing through the galvanometer in balance Wheatstone’s bridge is,,easy,Current passing through a balance Wheatstone bridge is zero as there is no potential difference between two points of galvanometer.,,38,0,Infinite,Maximum,Mega Ampere,,,,,1,,,,,,,
The potential difference in open circuit is 2.2V. When it is connected across resistance of 5 ohm the voltage across comes out to be 1.8 volts. The current drawn from the battery is ,,difficult,"By ohms law
V=IR
I=(V/R)
I= (1.8/5)=0.36A",,38,0.46A,0.54A,0.26A,0.36A,,,,,4,,,,,,,
"In accordance with the right hand rule, which one is true for the formula F=q$(v \times B)$",,easy,"Thumb pointing direction of current, fingers pointing to the direction of magnetic field and palm will point to the direction of force.",,39,F must be perpendicular to v but not necessarily with B,F must be perpendicular to v and B,F must be perpendicular to B but not necessarily with v,None of these,,,,,2,,,,,,,
"A current carrying conductor is placed parallel to the direction of magnetic field. The magnetic force is given by",,moderate,"we know that
\[
\begin{array}{l}
\mathrm{F}=\mathrm{I}(\mathrm{L} \mathrm{xB}) \\
\mathrm{F}=\mathrm{I}(\mathrm{LB} \sin \theta)=\mathrm{BIL} \sin 0=0
\end{array}
\]
$\mathrm{F}$ is the force I is the current $\mathrm{L}$ is the length of conductor $\mathrm{B}$ is the magnetic field",,39,0,F=1/B,$\mathrm{F}=1 / \mathrm{B} \sin \theta$,$\mathrm{F}=1 / \mathrm{B} \cos \theta$,,,,,1,,,,,,,
"The value of current in wire of length 10cm having 90 angle with magnetic field with strength 0.5 Weber/m2, when force on wire is 5N?",,difficult,"\begin{array}{l}
\mathrm{F}=\mathrm{BIL} \sin \theta=(0.5)(0.1) \mathrm{I} \\
5 / 0.05=\mathrm{I} \\
\mathrm{I}=100 \mathrm{A}
\end{array}",,39,1A,10A,100A,1000A,,,,,3,,,,,,,
"When a particle of charge q and mass m enters a uniform magnetic field B moving with velocity v perpendicular to the direction for the field, it describes circular path of radius
",,moderate,"We know that
\[
\mathrm{e} / \mathrm{m}=\mathrm{v} / \mathrm{Br}
\]
Hence
\[
\mathrm{r}=(\mathrm{vm} / \mathrm{Be})
\]
$\mathrm{r}$ is the radius $\mathrm{v}$ is the velocity $\mathrm{m}$ is the mass $\mathrm{B}$ is the magnetic field e is the charge on
electron",,39,r=qB/mv,"r=mv/qB",r=qmV/B     ,r=qmB/v,,,,,2,,,,,,,
A moving coil galvanometer of resistance 50 ohm gives half scale deflection for current 10mA. What will be the voltage present between them?,,moderate,"By ohms law
\[
\begin{array}{l}
\mathrm{V}=\mathrm{IR} \\
\mathrm{V}=\left(10 \times 10^{-3}\right)(50) \\
\mathrm{V}=0.5 \mathrm{V}
\end{array}
\]",,39,0.5V,5V,50V,0.25V,,,,,1,,,,,,,
Two parallel wires carrying opposite direction of current. Which one is correct ,,easy,As both current carrying wires develop same poles between them and so they repel each other. The direction of magnetic field can be found out by right hand rule.,,39,repel each other,attract each other,have no effect upon each other," they cancel out their individuals magnetic effect",,,,,1,,,,,,,
"A proton enters in a magnetic field of strength B with speed v, parallel to the direction of the magnetic field. The force on proton is",,moderate,"Proton travels parallel to the direction of magnetic field so the angle between magnetic
field and velocity of proton is zero so does the force becomes zero.
\[
\begin{array}{l}
\mathrm{F}=\mathrm{e}(\mathrm{vxB}) \\
\mathrm{F}=\mathrm{e}(\mathrm{vB} \sin \mathrm{e})=\mathrm{Bevsin} 0=0
\end{array}
\]
$\mathrm{F}$ is the force e is the charge on electron $\mathrm{v}$ is the velocity $\mathrm{B}$ is the magnetic field",,39,evB,0,infinite,evb/2,,,,,2,,,,,,,
